processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
ANGBF11509-15,KF899613,5652556,NBFGR:CHN:199,KF899613,"Mined from GenBank, NCBI",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , ,taxon:651721, , , , , ,India, , , 
ANGBF11510-15,KF899612,5652557,NBFGR:CHN:NK13,KF899612,"Mined from GenBank, NCBI",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , ,taxon:651721, , , , , ,India, , , 
ANGBF11511-15,KF899611,5652558,NBFGR:CHN:R165,KF899611,"Mined from GenBank, NCBI",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , ,taxon:651721, , , , , ,India, , , 
ANGBF11512-15,KF899610,5652559,NBFGR:CHN:R25,KF899610,"Mined from GenBank, NCBI",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , ,taxon:651721, , , , , ,India, , , 
ANGBF11513-15,KF899609,5652560,NBFGR:CHN:R24,KF899609,"Mined from GenBank, NCBI",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , ,taxon:651721, , , , , ,India, , , 
ANGBF12767-15,KM073023,6151242,NKUH1,KM073023,"Mined from GenBank, NCBI",BOLD:ABZ6130,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,"Kean Chong, Lim",10/4/12, , , ,taxon:651721, , , , , ,Malaysia,Selangor,Kuala Selangor, 
ANGBF12768-15,KM073024,6151243,NKUH2,KM073024,"Mined from GenBank, NCBI",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,"Kean Chong, Lim",3/8/13, , , ,taxon:651721, , , , , ,Malaysia, ,Sandakan, 
ANGBF12769-15,KM073025,6151244,NKUH3,KM073025,"Mined from GenBank, NCBI",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,"Kean Chong, Lim",3/13/13, , , ,taxon:651721, , , , , ,Malaysia, ,Sandakan, 
ANGBF2040-12,JN184065,2951371, ,JN184065,"Mined from GenBank, NCBI",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , , , , , , ,Neotrygon kuhlii, , , , , , , , 
FOA208-04,BW-A208,29474, ,1,Biodiversity Institute of Ontario,BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,Peter Last, , , ,3/8/95, , , ,FAO-71,||CSIRO unreg (specimen not retained),-12.4667,141.483, , ,Australia,Queensland,"Gulf of Carpentaria, West of Weipa", 
